,Restaurant_name,CO2
464,Istanbul Fisch Grill,0.0
465,Orfeo Bistro,0.0
466,Leonhard'S,0.0
467,Weisse Lilie,0.0
468,Applewoi Stubche Grillmayer,0.0
469,Ristorante Pizzeria Da Aldo,0.0
470,Calma Caos,0.0
471,Zur Alten Post,0.0
472,Cono Cimino,0.0
473,Casa Vip da Simonetta.,0.0
474,Sunflower Gartencenter,0.0
475,Phoin,0.0
476,Vietnam Palmen,0.0
477,Pizzeria Cimino Da Rosa,0.0
478,Zur neuen Giesskanne,0.0
479,Mosel-Eck,0.0
480,Restaurant Zur Waldau,0.0
481,Frankfurt Pub,0.0
482,Restaurant Marktstubb,0.0
483,Riz,0.0
484,Cafe Wunderbar,0.0
485,Wie Zuhause,0.0
486,Innside Frankfurt Eurotheum,0.0
487,VietPho,0.0
488,Zum Standesamtchen,0.0
489,vif Westend,0.0
490,Erta Ale,0.0
491,Ristorante & Pizzeria Imola,0.0
492,Sicilia,0.0
493,Luna Bar,0.0
494,Shinjuku,0.0
495,Fletcher's Better Burger,0.0
496,Cafe Kleinmarkthalle,0.0
497,Melis,0.0
498,The ASH - Frankfurt,0.0
499,Curry Club,2.154705882352941
500,Aunty Zhong's Noodle Bar&More,0.0
501,LAXMI Tandoori & Curry Restaurant,0.0
502,Pizzeria Italia 90,0.0
503,Restaurant Koriander,0.0
504,Steakhouse Fleischeslust,0.0
505,Gleis 25,0.0
506,Binding-Schirn,0.0
507,Kim´s Pho,11.127611940298516
508,Central Park Corner,0.0
509,Meier Gustl,0.0
510,Amir Libanesische Spezialitaten,0.0
511,Bistro Hong Kong,0.0
512,Ouzeri Meraki,0.0
513,Papa Enj,3.757
514,Graf 19,0.0
515,Pho Ha Noi,0.0
516,Zur blauen Adria,0.0
517,Der Fette Bulle Oeder Weg,0.0
518,Poke You,0.0
519,Restaurant La Favola,0.0
520,Thai Express,0.0
521,SHAH Persisches & Vegetarisches Restaurant,0.0
522,Gregorelli's,0.0
523,The Nine Thai Kitchen,0.0
524,Himalaya Laternchen,0.0
525,Fletchers Better Burger,0.0
526,Henscheid,0.0
527,Logenhaus Frankfurt,0.0
528,Il Doge,0.0
529,Dejavu Restaurantbetriebsgesellschaft Mbh,0.0
530,Holzofenpizza Engel,0.0
531,Haus Wertheym,0.0
532,ALEX Frankfurt THE SQUAIRE,0.0
533,Bkk Thai Street Food,0.0
534,Rise,0.0
535,Gang & Gaebe,0.0
536,Kenkey House,0.0
537,Aymo,0.0
538,Kiwis,13.426875000000004
539,Restaurant Lilium,0.0
540,Cha Dào - China Tea & Art,0.0
541,Eppstein,0.0
542,Pinienhof,0.0
543,saVory - the vegtory,0.0
544,Tapas Locas,0.0
545,Pizzeria Buongiorno,0.0
546,Neue Welt,0.0
547,Daheim in der Affentor SchAnke,0.0
548,Das Nudel Ding,0.0
549,Sullivan Bar,0.0
550,Alte Liebe,0.0
551,Sushi Circle,0.0
552,Rendezvous Persische Grill Spezialitaten,0.0
553,Solberfass'jE Haxenhaus,0.0
554,Brasserie M,0.0
555,Alegria im Lindner Congrss Hotel,0.0
556,Bombay Curry House,0.0
557,La Cantine Cafe & Bistro,0.0
558,Funky Burger,0.0
559,SOmmerring Weinbar,0.0
560,Mokka Teeria,0.0
561,Thai Snack Frischer Wok,0.0
562,Paris' Bar,0.0
563,Connection 5,0.0
564,Natural Floor,0.0
565,Taxim DOner Kebap Haus,0.0
566,Jaffa Market,0.0
567,Fine Dining Metropolitan,0.0
568,El Jamonero,0.0
569,yours sports bar,0.0
570,Maifresh Asia Bistro,0.0
571,Frau Schmidt,0.0
572,Volkswirtschaft,0.0
573,Gaststatte Anglerheim,0.0
574,Trattoria - Pizzeria im Sportgarten,0.0
575,Chaang Thai,0.0
576,Taverna Omikron,0.0
577,Kupfer.,0.0
578,Amtep Sofrasi,0.0
579,La Terrazza Ristorante,0.0
580,Bei Susanne,0.0
581,Viet Pho,0.0
582,Mystery of Pizza,0.0
583,Cafe Casablanca,0.0
584,Sophias Cafe • Tagesbar • Kuche,0.0
585,Da Stefano,0.0
586,Gangnam Kitchen,0.0
587,Hotel Ibis,0.0
588,Mlinar - Frankfurt,0.0
589,U Bowl,2.5894117647058827
590,Runway Sandwiches,0.0
591,Mywok-Thai,0.0
592,Herzfutter Deli,0.0
593,Odyssee,0.0
594,Imbiss Ralf Ickes,0.0
595,Brezel Ditsch,0.0
596,Plants & Cakes EAST,0.0
597,Chez Vivi,0.0
598,Pizzeria Diablo,0.0
599,Wein Duo,0.0
600,Francos Austernbar Mare Blu,0.0
601,Pizza Massala,0.0
602,Take Thai,0.0
603,Normalkneipe,0.0
604,Lemlem Habesha Market,0.0
605,Bistro Ethiopia,0.0
606,Pizzeria Amalfi,0.0
607,Brasserie & Wine Bar,0.0
608,China Paradies,0.0
609,Gangnam,0.0
610,Sindam Bistro & Cafe,0.0
611,Bistro Cosi,0.0
612,Pizzeria Carlo,0.0
613,"Caffe Martella, Frankfurt",0.0
614,Am Bruennchen,0.0
615,Metzgerei Waibel,0.0
616,Ebert’s,0.0
617,die Fleckenbuhler Bistro&cafe,0.0
618,Loris Restaurant & Cafe,0.0
619,Maximilians,0.0
620,Snack Time,0.0
621,Yaldi,0.0
622,Quicker's,0.0
623,Bistro Carioca,0.0
624,Kochhaus Bockenheim,0.0
625,Pizzeria Palermo,0.0
626,Koh Samui Kitchen,0.0
627,Chipotle Mexican Grill,0.0
628,Greco,0.0
629,Meat in the City,0.0
630,An Frankfurt - Authentic Vietnamese Cuisine,0.0
631,Saftcraft,0.0
632,Ebbelwoi Hehl,0.0
633,Greeklicious,0.0
634,Nekos Cafe Bar,0.0
635,Bao Anh Deluxe,0.0
636,Ciro Il Lattaio Mensa,0.0
637,Pi-Nong Authentische Thai-Kuche - Nordend,0.0
638,Pizzeria Bistro Leonardo,0.0
639,Pizzeria Peppe,0.0
640,Restaurant Menzza,0.0
641,Open Europe Ristorante,0.0
642,Metzgerei Sturmer,0.0
643,Herkert,0.0
644,Fleischerei Gobel,0.0
645,Dr. Glitzner Genussevents,0.0
646,Seoulpocha,0.0
647,Naxos,0.0
648,China Restaurant Kaiser,0.0
649,Da Oliviero,0.0
650,BB Bar,0.0
651,Marina'S,0.0
652,Messina,0.0
653,la cantina,0.0
654,Kao Asian Imbiss,0.0
655,Sushi 2 Go,0.0
656,Pizza Tomate,0.0
657,Frischer Wok,0.0
658,Thai Eck,0.0
659,Bistro Latino,0.0
660,Raum & Wein - Weinhandlung und WeinBar,0.0
661,Coffeosi,0.0
662,Dreikoenigskeller,0.0
663,Odyssee Kult,0.0
664,Mama Mia,0.0
665,Samnium Restaurant & Pizza,0.0
666,Restaurant Toelzer Stube,0.0
667,80 Restaurant & Events,0.0
668,BĒP’s VIET,0.0
669,Jianbing Plus,0.0
670,McCafe,0.0
671,Asia-Snack,0.0
672,Morgenland,0.0
673,Bunca 2.0,0.0
674,Limones,0.0
675,Lahore Kebab House,0.0
676,Essenza - Vino E Gastronomia,0.0
677,Pizzeria Vesuvio,0.0
678,Ristorante Romanella,0.0
679,Onkel Emmo,0.0
680,Gino's Cafe,0.0
681,I due Amici,0.0
682,Cabana,0.0
683,Oppenheimer Sushibar,0.0
684,La Terrazza,0.0
685,Nero Nero,0.0
686,Gmeiner,0.0
687,Grill-Haus,0.0
688,Restaurant Kang-Nam,0.0
689,Eritrean Restaurant Meazas Places,0.0
690,Zur Staustufe,0.0
691,Dicke Butz,5.108510638297872
