Restaurant_name,avg_rating
Pi-Nong Authentische Thai-Kuche - Nordend,3.7
Pizzeria Bistro Leonardo,4.5
Pizzeria Peppe,3.8
Restaurant Menzza,4.4
Open Europe Ristorante,5.0
Metzgerei Sturmer,4.2
Herkert,5.0
Fleischerei Gobel,4.0
Dr. Glitzner Genussevents,5.0
Seoulpocha,3.4
Naxos,3.7
China Restaurant Kaiser,3.7
Da Oliviero,5.0
BB Bar,4.3
Marina'S,5.0
Messina,3.3
la cantina,3.9
Kao Asian Imbiss,4.5
Sushi 2 Go,4.7
Pizza Tomate,3.9
Frischer Wok,4.8
Thai Eck,4.2
Bistro Latino,5.0
Raum & Wein - Weinhandlung und WeinBar,3.8
Coffeosi,4.3
Dreikoenigskeller,4.2
Odyssee Kult,3.9
Mama Mia,4.5
Samnium Restaurant & Pizza,4.8
Restaurant Toelzer Stube,3.7
80 Restaurant & Events,4.1
BĒP’s VIET,4.5
Jianbing Plus,4.8
McCafe,4.0
Asia-Snack,3.6
Morgenland,3.7
Bunca 2.0,4.3
Limones,3.5
Lahore Kebab House,3.4
Essenza - Vino E Gastronomia,4.7
Pizzeria Vesuvio,5.0
Ristorante Romanella,3.4
Onkel Emmo,4.7
Gino's Cafe,4.7
I due Amici,3.8
Cabana,4.2
Oppenheimer Sushibar,5.0
La Terrazza,3.4
Nero Nero,4.2
Gmeiner,3.6
Grill-Haus,3.8
Restaurant Kang-Nam,3.3
Eritrean Restaurant Meazas Places,4.0
Zur Staustufe,4.3
Dicke Butz,3.3
Sandwicher,4.0
City Beach,3.1
Ludwigs,3.3
Maria & Giovanni,3.4
PARK restaurant & terrace,4.0
Domino's Pizza,4.2
Die fromagerie,4.0
Starbucks,3.3
Isoletta Promis,4.0
Maraldo,3.8
Haus Goldstein,4.0
Zoom Restaurant - Glocal Dining,3.3
Kaya Doener & Pizza,3.4
Vecchio Forno,3.8
CityAlm / Citybeach,3.8
Gaststatte Weida im Blauen Bock,4.0
Dean And David,4.5
Mi Coba,4.7
Il Quadrifoglio,3.5
Club Michel,3.2
Da Rosario,3.5
Vito,3.1
Apfelweinwirtschaft Frank,3.4
Sossenheimer Doner & Pizza,4.3
Das Herz von Frankfurt,3.2
Jade Wok,3.9
Grazie Mille,3.8
Wittkoop,3.4
Palastbar Restaurant,3.6
Saltana Shisha Bar,4.7
Goldene Gerste,3.5
Little Vietnam,3.7
Taverna Alpha,3.6
Wiener Feinbackerei,3.7
Gua Xian,4.0
Konoba,4.0
McDonald's,3.5
Cafe Leidenschaft,3.4
